# Samsung SM-S928B (e3q) ZZHL vendor-DLKM KMI CRC compatibility baseline
# Firmware: S928BXXU6ZZHL; stock kernel: 6.1.162-android14-11-34343818-abS928BXXU6ZZHL
# Extracted from supplied vendor_dlkm.new.dat (SHA-256 65840e49d5980d21dcb0db4732e1acc10116fd2169e98e79927c7f5ded19f7b2).
# All 2469 retained DZH2 strict symbols have identical ZZHL CRCs; seven
# DZH2-only imports are absent. ZZHL has 1642 additional
# vendor-internal imports outside this kernel-facing strict set.
# ZZHL vendor_boot validation: 411 modules, 2139 strict baseline-overlap symbols.
# Scope: all retained kernel-facing ZZHL vendor-DLKM imports in the proven strict set.
# Device audit: 0 internal CRC conflicts across 351 vendor_dlkm modules.
# 1675 exact CRCs; 794 known Samsung/GKI CRC differences require the audited strict repair.
# symbol	device_crc	validated_build_crc	modules
__flush_workqueue	0x9166fc03	0x9166fc03	camera;cdsprm;dwc3_msm;gsim;ipam;mac80211;msm_drm;msm_eva;msm_geni_serial;msm_kgsl;pci_msm_drv;qca_cld3_kiwi_v2;qcom_q6v5_pas;radio_i2c_rtc6226_qca;rmnet_core;sec_battery;sec_common_fn;snd_soc_cs35l45_i2c;snd_usb_audio_qmi;synx_driver;usb_f_qdss;usb_notify_layer
__folio_put	0x2c38db08	0x613bf83d	msm_kgsl;qca_cld3_kiwi_v2;rmnet_core;rmnet_mem
__free_pages	0xcd5271aa	0xf1e05844	camera;coresight_tmc;ipam;msm_drm;msm_kgsl;qcom_iommu_debug;sec_rdx_bootdev;sg
__genphy_config_aneg	0xcdd0498d	0x0d44119a	at803x;smsc
__get_free_pages	0x6a5cb5ee	0x6a5cb5ee	qcom_iommu_debug
__get_task_comm	0x9d01eb28	0xf4dcf332	msm_kgsl;stm_core;sync_fence
__hrtimer_get_remaining	0xed269ad2	0xed269ad2	qcom_lpm;rmnet_wlan
__hw_addr_init	0xf28cf0ae	0xf28cf0ae	mac80211
__hw_addr_sync	0x91f68ea1	0x91f68ea1	mac80211
__hw_addr_unsync	0xb71ed69f	0xb71ed69f	mac80211
__hwspin_lock_timeout	0xaf73026c	0xaf73026c	ipclite;synx_driver
__hwspin_unlock	0x7a43a485	0x7a43a485	ipclite;synx_driver
__inet_lookup_established	0x63c135e0	0x601950a1	rmnet_perf
__inet6_lookup_established	0x7f82e930	0x8d83ba24	rmnet_perf
__init_rwsem	0xf5a94b83	0xf5a94b83	common_muic;lpass_cdc_dlkm;msm_drm;pdic_notifier_module;qcom_stats;sb_core;usb_notify_layer;usb_typec_manager;wcd938x_dlkm;wcd939x_dlkm
__init_swait_queue_head	0x608741b5	0x608741b5	adsp_sleepmon;camera;cdsprm;cnss2;cnss_plat_ipc_qmi_svc;dmesg_dumper;frpc_adsprpc;glink_pkt;gsim;i2c_msm_geni;i3c_master_msm_geni;input_cs40l26_i2c;ipam;mbhc_dlkm;mfd_max77705;mfd_max77775;mhi;mhi_dev_satellite;msm_drm;msm_eva;msm_geni_serial;msm_gpi;msm_kgsl;msm_mmrm;msm_video;pci_msm_drv;pdic_max77705;pdic_max77775;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_glink;qcom_iommu_debug;qcom_q6v5;qcom_q6v5_pas;qcom_ramdump;qcom_spmi_adc5_gen3;qcom_spss;qcom_sysmon;qcrypto_msm_dlkm;qmi_helpers;qrtr_mhi;radio_i2c_rtc6226_qca;rdbg;sec_common_fn;slim_qcom_ngd_ctrl;slimbus;snd_soc_cs35l45_i2c;spcom;spi_msm_geni;spss_utils;stm_ts_spi;swr_ctrl_dlkm;synaptics_ts_spi;usb_f_qdss;usb_notify_layer;wez02
__init_waitqueue_head	0xd9a5ea54	0xd9a5ea54	audio_pkt_dlkm;audio_prm_dlkm;camera;cfg80211;coresight_tmc;dev_ril_bridge;drm_display_helper;fingerprint;frpc_adsprpc;glink_pkt;ipam;ipclite_test;lt9611uxc;mbhc_dlkm;mfd_max77775;mhi;mhi_dev_uci;msm_drm;msm_eva;msm_hw_fence;msm_kgsl;nfc_nxp_sec;pdic_max77705;pdic_max77775;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_glink;qcom_smd;qsee_ipc_irq_bridge;qseecom_dlkm;radio_i2c_rtc6226_qca;sdhci_msm_sec;sec_battery;sec_vibrator_inputff_module;sg;smcinvoke_dlkm;snd_usb_audio_qmi;spf_core_dlkm;stmvl53l8;swr_ctrl_dlkm;sync_fence;synx_driver;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;usb_notify_layer;uwb
__ioread32_copy	0x3801776b	0x3801776b	qcom_smd
__iowrite32_copy	0x2dba276a	0x2dba276a	qcom_smd
__ipv6_addr_type	0x0d542439	0x0d542439	qca_cld3_kiwi_v2
__irq_alloc_descs	0x95238b2a	0x95238b2a	mfd_max77705
__irq_apply_affinity_hint	0x51786ad8	0x51786ad8	qca_cld3_kiwi_v2;qcom_glink;sdhci_msm_sec
__irq_domain_add	0x75aecb8b	0x75aecb8b	msm_drm;pci_msm_drv;smp2p;smsc95xx;wcd_core_dlkm
__irq_domain_alloc_fwnode	0xdc739bfc	0xdc739bfc	smsc95xx
__irq_resolve_mapping	0xcb7ab12a	0xcb7ab12a	msm_drm;pci_msm_drv;smp2p;smsc95xx;swr_ctrl_dlkm;wcd_core_dlkm
__kfifo_alloc	0x139f2189	0x139f2189	radio_i2c_rtc6226_qca;sec_common_fn
__kfifo_free	0xdb760f52	0xdb760f52	sec_common_fn
__kfifo_in	0xf23fcb99	0xf23fcb99	hvc_gunyah;radio_i2c_rtc6226_qca;sec_common_fn;usb_f_conn_gadget
__kfifo_init	0xbd462b55	0xbd462b55	usb_f_conn_gadget
__kfifo_out	0x13d0adf7	0x13d0adf7	hvc_gunyah;radio_i2c_rtc6226_qca;sec_common_fn
__kfifo_to_user	0x72aa63ef	0x72aa63ef	usb_f_conn_gadget
__kfree_skb	0x7bb0184e	0x67e9f60d	dropdump
__kmalloc	0xeb233a45	0xeb233a45	adsp_factory_module;bam_dma;bt_fm_slim;btpower;c1dcvs_scmi_v2;camera;cdsprm;cfg80211;cl_dsp;cl_dsp_debugfs;cnss2;cnss_prealloc;coresight;coresight_cti;coresight_tmc;cpu_voltage_cooling;cpucp_log;cpufreq_stats_scmi_v2;cs_dsp;dev_ril_bridge;drm_display_helper;dwc3_msm;flicker_sensor;frpc_adsprpc;gh_tlmm_vm_mem_access;hwmon;i2c_msm_geni;input_booster_lkm;input_cs40l26_i2c;ipam;ipclite;ipclite_test;kperfmon;lt9611uxc;mac80211;machine_dlkm;max77705_fuelgauge;max77775_fuelgauge;mfd_s2mpb02;mhi;mhi_dev_satellite;mhi_dev_uci;msm_drm;msm_eva;msm_gpi;msm_hw_fence;msm_kgsl;msm_memshare;msm_mmrm;msm_performance;msm_sysstats;nu1668_charger;pci_msm_drv;pdic_max77705;pdic_max77775;pdic_notifier_module;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_glink;qcom_smd;qcrypto_msm_dlkm;qmi_helpers;qrtr_smd;qseecom_dlkm;qti_cpufreq_cdev;qti_devfreq_cdev;radio_i2c_rtc6226_qca;rdbg;rmnet_shs;rmnet_wlan;sb_core;sdhci_msm_sec;sec_battery;sec_common_fn;sec_qc_hw_param;sg;slimbus;smcinvoke_dlkm;snd_soc_cirrus_amp;snd_soc_cs35l43_i2c;snd_soc_cs35l45_i2c;snd_soc_wm_adsp;snd_usb_audio_qmi;snvm;spcom;sps_drv;ssg;stm_core;stm_ts_spi;stmvl53l8;swr_ctrl_dlkm;swr_dlkm;swr_dmic_dlkm;synaptics_ts_spi;sync_fence;synx_driver;sys_pm_vx;thermal_config;tz_log_dlkm;usb_f_conn_gadget;usb_f_gsi;usb_notify_layer;vibrator_vib_info;wcd938x_dlkm;wcd939x_dlkm;wcd_usbss_i2c;wez02;wsa884x_dlkm
__kthread_init_worker	0x6f02eb42	0xca527356	msm_drm;qcom_glink;sec_vibrator_inputff_module
__list_add_valid	0x68f31cbd	0x68f31cbd	audpkt_ion_dlkm;bam_dma;blk_sec_stats;bwmon;bwprof;camera;cdsprm;cfg80211;cl_dsp;cnss2;coresight;coresight_csr;coresight_cti;coresight_remote_etm;cpu_voltage_cooling;cpucp_log;cs_dsp;drm_display_helper;dropdump;dwc3_msm;frpc_adsprpc;glink_probe;hall_ic;health_monitor;hwmon;input_booster_lkm;input_cs40l26_i2c;ipam;kperfmon;lt9611uxc;mac80211;mhi;mhi_dev_satellite;mhi_dev_uci;msm_drm;msm_eva;msm_ext_display;msm_gpi;msm_hw_fence;msm_kgsl;msm_lmh_dcvs;msm_mmrm;msm_video;nfc_nxp_sec;pci_msm_drv;pdr_interface;q6_notifier_dlkm;qca_cld3_kiwi_v2;qce50_dlkm;qcedev_mod_dlkm;qcom_cpuss_sleep_stats;qcom_glink;qcom_lpm;qcom_ramdump;qcom_smd;qcom_spmi_adc5_gen3;qcom_sysmon;qcrypto_msm_dlkm;qfs4008_spidev;qmi_helpers;qsee_ipc_irq_bridge;qseecom_dlkm;qti_cpufreq_cdev;qti_qmi_cdev;qti_qmi_sensor_v2;qti_qmi_ss_cdev;reboot_mode;redriver;repeater;rmnet_aps;rmnet_core;rmnet_mem;rmnet_offload;rmnet_perf_tether;rmnet_shs;rmnet_wlan;rproc_qcom_common;sb_core;sec_battery;sec_common_fn;sg;slimbus;smcinvoke_dlkm;smp2p;snd_event_dlkm;snd_soc_cs35l43_i2c;snd_soc_wm_adsp;snd_usb_audio_qmi;snvm;spcom;sps_drv;ssg;stm_core;stm_ts_spi;stmvl53l8;swr_ctrl_dlkm;swr_dlkm;synaptics_ts_spi;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;usb_f_qdss;uwb
